name,owner,language,stars,forks,watchers,open_issues,created_date,updated_date,license
tensorflow,tensorflow,"<bound method NDFrame.fillna of 0                  C++
1               Python
2     Jupyter Notebook
3               Python
4               Python
            ...       
95                None
96            Markdown
97                None
98    Jupyter Notebook
99    Jupyter Notebook
Name: language, Length: 100, dtype: object>",197330,76098,197330,2930,2015-11-07 01:19:20+00:00,2026-08-22 21:49:21+00:00,Apache License 2.0
transformers,huggingface,"<bound method NDFrame.fillna of 0                  C++
1               Python
2     Jupyter Notebook
3               Python
4               Python
            ...       
95                None
96            Markdown
97                None
98    Jupyter Notebook
99    Jupyter Notebook
Name: language, Length: 100, dtype: object>",164344,34325,164344,2397,2018-10-29 13:56:00+00:00,2026-08-22 21:20:09+00:00,Apache License 2.0
ML-For-Beginners,microsoft,"<bound method NDFrame.fillna of 0                  C++
1               Python
2     Jupyter Notebook
3               Python
4               Python
            ...       
95                None
96            Markdown
97                None
98    Jupyter Notebook
99    Jupyter Notebook
Name: language, Length: 100, dtype: object>",89686,22038,89686,13,2021-03-03 01:34:05+00:00,2026-08-22 20:59:48+00:00,MIT License
funNLP,fighting41love,"<bound method NDFrame.fillna of 0                  C++
1               Python
2     Jupyter Notebook
3               Python
4               Python
            ...       
95                None
96            Markdown
97                None
98    Jupyter Notebook
99    Jupyter Notebook
Name: language, Length: 100, dtype: object>",82598,15272,82598,52,2018-08-21 11:20:39+00:00,2026-08-22 20:42:24+00:00,Unknown
awesome-machine-learning,josephmisiti,"<bound method NDFrame.fillna of 0                  C++
1               Python
2     Jupyter Notebook
3               Python
4               Python
            ...       
95                None
96            Markdown
97                None
98    Jupyter Notebook
99    Jupyter Notebook
Name: language, Length: 100, dtype: object>",74118,15619,74118,26,2014-07-15 19:11:19+00:00,2026-08-22 19:52:07+00:00,Other
scikit-learn,scikit-learn,"<bound method NDFrame.fillna of 0                  C++
1               Python
2     Jupyter Notebook
3               Python
4               Python
            ...       
95                None
96            Markdown
97                None
98    Jupyter Notebook
99    Jupyter Notebook
Name: language, Length: 100, dtype: object>",67011,27299,67011,2124,2010-08-17 09:43:38+00:00,2026-08-22 21:29:54+00:00,"BSD 3-Clause ""New"" or ""Revised"" License"
gradio,gradio-app,"<bound method NDFrame.fillna of 0                  C++
1               Python
2     Jupyter Notebook
3               Python
4               Python
            ...       
95                None
96            Markdown
97                None
98    Jupyter Notebook
99    Jupyter Notebook
Name: language, Length: 100, dtype: object>",43405,3579,43405,174,2018-12-19 08:24:04+00:00,2026-08-22 17:03:47+00:00,Apache License 2.0
500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,ashishpatel26,"<bound method NDFrame.fillna of 0                  C++
1               Python
2     Jupyter Notebook
3               Python
4               Python
            ...       
95                None
96            Markdown
97                None
98    Jupyter Notebook
99    Jupyter Notebook
Name: language, Length: 100, dtype: object>",36454,7454,36454,68,2021-01-02 12:08:37+00:00,2026-08-22 16:09:36+00:00,Unknown
C-Plus-Plus,TheAlgorithms,"<bound method NDFrame.fillna of 0                  C++
1               Python
2     Jupyter Notebook
3               Python
4               Python
            ...       
95                None
96            Markdown
97                None
98    Jupyter Notebook
99    Jupyter Notebook
Name: language, Length: 100, dtype: object>",34592,7850,34592,29,2016-07-16 10:19:45+00:00,2026-08-22 20:30:40+00:00,MIT License
netron,lutzroeder,"<bound method NDFrame.fillna of 0                  C++
1               Python
2     Jupyter Notebook
3               Python
4               Python
            ...       
95                None
96            Markdown
97                None
98    Jupyter Notebook
99    Jupyter Notebook
Name: language, Length: 100, dtype: object>",33387,3174,33387,18,2010-12-26 12:53:43+00:00,2026-08-22 18:17:56+00:00,MIT License
